"filename", "language", "JSON", "Markdown", "JavaScript", "HTTP", "TypeScript", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/APIDocumentation.md", "Markdown", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 79, 269
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/Tests.http", "HTTP", 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 12, 34
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/authSchema.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 3, 16
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/index.js", "JavaScript", 0, 0, 118, 0, 0, 0, 0, 0, 0, 37, 14, 169
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/messageSchema.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 3, 13
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/package-lock.json", "JSON", 3906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3907
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/api/package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/socket/index.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 6, 3, 39
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/socket/messageSchema.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 3, 14
"/Users/chengsihan/Desktop/Coding_projects/Javascript_Projects/Chat app/Backend/socket/package-lock.json", "JSON", 3905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3906
